day,shift,role,member,start,end
monday,day,crew_leader,A. Alvarez,0600,1800
monday,day,driver,M. Chen,0600,1800
monday,day,member_1,D. Osei,0600,1800
monday,day,member_2,K. Flores,0600,1800
monday,night,crew_leader,P. Whitfield,1800,0600
monday,night,driver,R. Kansal,1800,0600
monday,night,member_2,J. Edwards,1800,0600
monday,night,member_1,T. O'Neil,1800,2300
monday,night,member_1,N. Ibarra,2300,0000
monday,night,member_1,S. Delgado,0000,0500
tuesday,day,crew_leader,A. Alvarez,0600,1800
tuesday,day,driver,M. Chen,0600,1800
tuesday,day,member_1,D. Osei,0600,1800
tuesday,day,member_2,K. Flores,0600,1800
tuesday,night,crew_leader,P. Whitfield,1800,0600
tuesday,night,driver,R. Kansal,1800,0600
tuesday,night,member_2,J. Edwards,1800,0600
tuesday,night,member_1,T. O'Neil,1800,0600
wednesday,day,crew_leader,A. Alvarez,0600,1800
wednesday,day,driver,M. Chen,0600,1800
wednesday,day,member_1,D. Osei,0600,1800
wednesday,day,member_2,K. Flores,0600,1800
wednesday,night,crew_leader,P. Whitfield,1800,0600
wednesday,night,driver,R. Kansal,1800,0600
wednesday,night,member_2,J. Edwards,1800,0600
wednesday,night,member_1,T. O'Neil,1800,0600
thursday,day,crew_leader,A. Alvarez,0600,1800
thursday,day,driver,M. Chen,0600,1800
thursday,day,member_1,D. Osei,0600,1800
thursday,day,member_2,K. Flores,0600,1800
thursday,night,crew_leader,P. Whitfield,1800,0600
thursday,night,driver,R. Kansal,1800,0600
thursday,night,member_2,J. Edwards,1800,0600
thursday,night,member_1,T. O'Neil,1800,0600
friday,day,crew_leader,A. Alvarez,0600,1800
friday,day,driver,M. Chen,0600,1800
friday,day,member_1,D. Osei,0600,1800
friday,day,member_2,K. Flores,0600,1800
friday,night,crew_leader,P. Whitfield,1800,0600
friday,night,driver,R. Kansal,1800,0600
friday,night,member_2,J. Edwards,1800,0600
friday,night,member_1,T. O'Neil,1800,0600
saturday,day,crew_leader,A. Alvarez,0600,1800
saturday,day,driver,M. Chen,0600,1800
saturday,day,member_1,D. Osei,0600,1800
saturday,day,member_2,K. Flores,0600,1800
saturday,night,crew_leader,P. Whitfield,1800,0600
saturday,night,driver,R. Kansal,1800,0600
saturday,night,member_2,J. Edwards,1800,0600
saturday,night,member_1,T. O'Neil,1800,0600
sunday,day,crew_leader,A. Alvarez,0600,1800
sunday,day,driver,M. Chen,0600,1800
sunday,day,member_1,D. Osei,0600,1800
sunday,day,member_2,K. Flores,0600,1800
sunday,night,crew_leader,P. Whitfield,1800,0600
sunday,night,driver,R. Kansal,1800,0600
sunday,night,member_2,J. Edwards,1800,0600
sunday,night,member_1,T. O'Neil,1800,0600
